ID	TARGET_ID	ID_REF	TARGET_REF	MENOR
2282	1	719	1	0.21479587400000089
2284	1	475	1	0.006143185999999856
2286	1	1556	1	0.008810031999999524
2287	1	1504	1	0.04039365999999989
2288	1	394	1	0.00933936000000024
2292	0	1101	1	0.01651313199999782
2296	0	309	1	0.011323613999998927
2297	1	406	1	0.0024836269999992666
2298	1	1235	1	0.20653851499999742
2299	1	954	1	0.029464146000003133
2301	0	580	1	0.018161013000001613
2302	1	870	1	0.019119535000008958
2303	1	447	0	0.016341642999998296
2305	1	1868	1	0.02639024699999859
2306	0	88	1	0.013274381999998752
2308	1	360	0	0.015479956999998379
2309	1	1099	1	0.008493239000001651
2311	1	1254	1	0.002469528999998971
2314	0	1710	1	0.030257864000001078
2315	0	734	1	0.0035049129999964457
2316	0	273	0	0.024951255000011496
2317	1	1210	0	0.009554154000001702
2320	0	886	1	0.011055931999999213
2321	1	206	0	0.029593823000001684
2323	1	9	0	0.005043221000000153
2325	1	1027	1	0.03573465200000214
2327	1	1464	1	0.005891481999999115
2329	0	739	1	0.002819898000000709
2330	1	75	1	0.020725790000000632
2332	1	1898	1	0.03181984699999596
2333	1	1488	1	0.18045933500000055
2337	1	1525	1	0.10378916299999652
2338	1	354	1	1.7338999998450788E-5
2342	1	804	1	0.05835178400001628
2343	1	1056	1	0.015973110000000013
2345	0	898	0	0.003270231999999318
2346	1	1914	0	0.004564390999999723
2347	1	243	0	0.00973972300000181
2348	1	105	1	0.0935694679999921
2350	1	1186	0	0.00528904599999791
2351	1	301	1	0.029052373000000742
2354	0	1317	1	0.009373730999999275
2355	1	1557	1	0.006179002999999517
2356	0	741	1	9.619729999954529E-4
2358	0	905	1	0.08311903899999784
2359	1	1142	1	0.009430093000001638
2360	1	298	1	0.05599513500000164
2361	1	1901	1	0.002500795999996752
2363	1	341	1	0.02073437200000061
2369	1	1632	0	0.019970604000000947
2371	1	1891	1	0.0038473730000028183
2372	1	435	0	0.02176259200000019
2374	1	518	0	0.017157534999998614
2378	1	1612	1	0.32221376799999923
2379	1	978	0	0.022380471000001734
2380	1	675	1	0.0014705399999928037
2381	1	946	0	0.005046193999999282
2383	1	1771	1	0.007070208999999217
2386	1	32	1	0.003437492999998959
2387	0	1761	1	0.0020662840000027494
2392	1	899	1	0.0014409049999990486
2394	1	176	0	0.007195314999998814
2395	1	117	1	0.007662363999998867
2403	0	93	0	0.006583576000001479
2405	1	1127	1	0.04229888100000667
2407	1	303	1	0.00696347199999936
