ID	TARGET_ID	ID_REF	TARGET_REF	MENOR
22875	1	1001	1	4.6674000000024307E-4
22876	1	5976	1	0.0015157160000009995
22877	1	7175	1	0.0035572429999977118
22878	1	16407	1	4.5202999999993665E-5
22879	0	10196	0	0.0010691049999991264
22884	0	21134	1	4.5243299999953024E-4
22887	1	21136	0	0.0013783100000002158
22890	1	18400	1	2.694059999986953E-4
22891	0	2170	1	3.3903999999940204E-4
22893	0	11025	1	0.007909528999990867
22894	1	18683	1	0.001344586999991182
22895	1	21340	1	0.001283681000000314
22900	1	7165	0	7.303040000001815E-4
22902	0	6240	1	8.228459999982674E-4
22903	0	3565	0	8.518760000008063E-4
22904	0	20433	1	6.470700000171803E-5
22906	1	7017	1	0.00495941599999794
22908	1	22111	1	2.060730000019717E-4
22911	1	5403	1	4.1283800000235793E-4
22912	1	1235	1	0.0016538189999966146
22913	1	11782	1	0.0011020360000020268
22914	1	6745	1	0.0026978369999968166
22918	1	18723	1	0.0018665580000014614
22919	1	10457	0	0.0025073199999948725
22920	1	7532	0	1.2157999998985147E-5
22921	0	559	0	0.0035454569999977537
22924	1	16759	1	1.880739999933212E-4
22925	1	10750	1	0.00136313100000085
22926	1	17428	1	2.646140000011066E-4
22928	1	6309	0	0.004556834000002952
22929	1	16623	1	7.092149999996522E-4
22931	0	1748	1	0.0020660870000011045
22933	1	5310	1	0.004957663999999973
22934	1	14767	0	0.0021465530000011057
22935	1	8791	0	3.2910100000016485E-4
22936	1	4183	0	2.3496999999883528E-4
22938	1	5844	0	1.0134199999978222E-4
22939	1	3999	1	0.001245750999999018
22941	1	5109	1	2.518689999977397E-4
22943	1	8572	1	0.004363126000002215
22944	1	20909	1	9.83879999999715E-4
22946	1	16415	1	8.623100000137995E-5
22951	1	8534	1	0.0031540279999999754
22953	0	22787	1	7.77259000009467E-4
22956	0	3641	1	2.503059999994228E-4
22965	1	9353	1	0.01238607199999997
22966	1	13083	1	0.010667311999997153
22970	1	21101	1	0.0011668100000008508
22971	1	7990	0	0.005516940999996223
22972	0	11315	1	0.0020334409999989145
22973	1	20293	1	0.001039401999999967
22974	1	8938	1	0.0011984770000004197
22978	1	15586	1	0.001372591000002532
22979	0	19462	1	4.568130000013326E-4
22986	1	18627	1	0.0036136369999999474
22989	0	5050	1	0.0013674370000007485
22995	0	15573	1	9.90043999999024E-4
22996	1	7651	1	0.0011428790000014288
23000	1	11359	0	0.0026505820000011227
23004	1	2914	1	0.005077176000001016
23007	1	13960	1	7.469479999993034E-4
23008	1	8757	1	0.005504032999998465
23011	0	17900	0	3.274029999991157E-4
23015	1	6739	1	6.92229999987859E-5
23017	0	17759	1	3.635440000007151E-4
23018	0	5269	1	1.1434000009469258E-5
23020	1	15136	1	0.00471016700000515
23022	1	4269	0	0.0018462600000106466
23024	1	11523	0	8.667500000170136E-5
23025	1	1773	1	0.0043388079999981954
23028	1	16626	1	1.1108400000048313E-4
23029	1	3730	1	5.458440000003506E-4
23030	1	13820	1	0.0024267280000005442
23031	1	22229	0	6.216570000014965E-4
23033	0	13576	1	7.038599999988904E-4
23035	1	20059	1	2.1040800001426163E-4
23037	1	10024	1	1.1168300000008458E-4
23040	0	11336	0	0.0017707169999994221
23043	0	5603	1	0.002105527000000329
23044	1	20891	0	5.838929999990583E-4
23045	0	12674	1	6.504999998213634E-6
23046	1	2858	0	8.726050000005259E-4
23048	1	21128	1	5.826509999986573E-4
23049	1	6584	1	4.0716299999843386E-4
23052	1	5622	1	2.91827000001188E-4
23053	0	11110	1	0.0025471679999986563
23055	1	20930	1	6.148720000036523E-4
23056	1	5183	1	2.568879999991225E-4
23058	0	6464	1	0.001612624999989043
23060	1	14406	1	1.0318200000014599E-4
23061	1	6115	1	7.88585000003561E-4
23067	1	15620	1	0.004380857000000127
23068	1	17153	0	4.171439999964832E-4
23074	1	15827	1	0.0014063590000019666
23079	1	15593	1	6.321900000205716E-5
23080	0	21398	1	6.59135000000699E-4
23081	1	22640	1	7.996860000005768E-4
23082	1	6060	1	2.931729999993138E-4
23083	1	6985	1	5.655499999868141E-5
23085	1	9784	1	0.00646178500000083
23086	1	20271	0	0.0023908540000010525
23088	0	18872	1	4.858800000016039E-4
23089	1	21010	1	0.0035356790000018457
23090	1	12218	0	0.004842548999999696
